"dateaccessed";"url";"productName";"productPrice"
"14/06/2022 18:31:26";"https://www.ebay.com/itm/115423749601?hash=item1adfcaa5e1:g:RWgAAOSwtMZipznT";"Mens Fossil Grant Chronograph Watch FS4736 - Small Strap Fits 16cm Wrist";"34.99"
"14/06/2022 18:31:31";"https://www.ebay.com/itm/203991186949?_trkparms=amclksrc=ITM&aid=1110006&algo=HOMESPLICE.SIM&ao=1&asc=239816&meid=2b2e7b0dfd6e48b8951f966031d0aea6&pid=101224&rk=1&rkt=1&sd=115423749601&itm=203991186949&pmt=1&noa=0&pg=2047675&algv=SimplAMLv9PairwiseWebWithToraOnlyWithNoAdFeeBoost&brand=Seiko&_trksid=p2047675.c101224.m-1&amdata=cksum:2039911869492b2e7b0dfd6e48b8951f966031d0aea6|enc:AQAHAAABEP%2BcPT6LkLRg6Ozid4LDk7AkcXAXUO1hcSFS56SMJqqzR1F2kkKB4FqjZjgpzh2dtrQ%2F9WwQWKUn5jWz3n%2B1iA70pRgTsWfsV1G%2Bpgud%2FGFQPVm9uevF5ti2EU26%2FsdwjdcDU89%2BKNihJd06BUba4LrVWiSp8D%2FsrkXmg9T5cEzcsNDGmV4dojL6GMZ9mOwzbvSdArJFBzDqP5TndsrZYf8bcvW1X4t5JC0yZDkrcbXWwvjHbN%2BiSxmB2Kkhupmbg58rs00Un6QJdNO1rZ1HdpbFEni6CPanD9As8sIbnLx9XXtOIu3E6sKoD%2FPvEeB2LkCQ%2BNwrc1iA5kz%2BtPs19mI33DxmfLNA%2F4mzPaNvezgp|ampid:PLX_CLK|clp:2047675";"Seiko Chronograph Automatic 6139-6000";""
"14/06/2022 18:31:35";"https://www.ebay.com/itm/185456631615?_trkparms=amclksrc=ITM&aid=1110018&algo=HOMESPLICE.COMPLISTINGS&ao=1&asc=20210609144404&meid=da50a3a584114c3e911a309e058f0ae5&pid=101196&rk=1&rkt=12&sd=115423749601&itm=185456631615&pmt=1&noa=0&pg=2047675&algv=ItemStripV101HighAdFeeWithCompV3Ranker&brand=Unbranded&_trksid=p2047675.c101196.m2219&amdata=cksum:185456631615da50a3a584114c3e911a309e058f0ae5|enc:AQAHAAABAMiCh7AmjLRk7DuPR3%2F9UdvQeXESgPHS%2FZurpFMzoVKwJfJKRmXGI%2BE1A%2B3F7DhHpWd676m4CM%2BRG9jvfMSukp%2Bb7gZmr8QN%2FNERh8LOVYcDP1%2FbCPT%2BTJKWR9EeCMp7n6AL1BpF10wf37C2j5ysfVK4lzuecg%2B%2F8J3dLbg5Sxc%2FetUUgPuPDveJtg1zzmGjlARWtwQ0eZ9hSkI9VJV7tBOw4hz2pOOtGpsUkEQdABUz9QzACcB3Xt2aGpwT32%2B37u%2FSBjE2n80m9CZJN6%2FLewQEZEstlc0i%2FBgD1vzM2Y%2BHPP0AWnmRLpOybxtdfhfAi5zM9R1xEx4NDT5qD5YkOrI%3D|ampid:PL_CLK|clp:2047675";"Aluminum Diving Watch Bezel Insert Chronograph Ring for SPR777 Watch 38.8 MM";"8.98"
"14/06/2022 18:31:41";"https://www.ebay.com/itm/304476565510?_trkparms=amclksrc=ITM&aid=1110018&algo=HOMESPLICE.COMPLISTINGS&ao=1&asc=20210609144404&meid=da50a3a584114c3e911a309e058f0ae5&pid=101196&rk=2&rkt=12&sd=115423749601&itm=304476565510&pmt=1&noa=0&pg=2047675&algv=ItemStripV101HighAdFeeWithCompV3Ranker&brand=Unbranded&_trksid=p2047675.c101196.m2219&amdata=cksum:304476565510da50a3a584114c3e911a309e058f0ae5|enc:AQAHAAABAMiCh7AmjLRk7DuPR3%2F9UdvQeXESgPHS%2FZurpFMzoVKwNBkZkuVWWyGC32HXBkz%2FZTjSc57XEjLvX5cdTn4u31mkQdfgFb260XiYIwtIM5i7NJRmhON0QPFXDSnUR8N6tS0b47ihSBB8H9ewwL%2B%2F5Ie7HSvobV2Wssiex5YKlOFEVkyeQ3CORgMDzpSOZsES%2FKNYUznAEaXmoSv%2BQxQm4%2BCSqk6%2BO2mXepP9CovbmFjKgEJVmZximo7miUgsQiEDGoam5h%2FuNVtFaCvBlzucMwgYhUQKEmpwOgzROaN1vIQOAh17bZ7ADJexymbnyjYFNO8qFJhCYO00RlKSFop%2BG6o%3D|ampid:PL_CLK|clp:2047675";"High Accuracy Quartz Chronograph Watch Wrist Movement VK63A For VK SERIES";"17.69"
"14/06/2022 18:31:46";"https://www.ebay.com/itm/224316605498?_trkparms=amclksrc=ITM&aid=1110018&algo=HOMESPLICE.COMPLISTINGS&ao=1&asc=20210609144404&meid=da50a3a584114c3e911a309e058f0ae5&pid=101196&rk=3&rkt=12&sd=115423749601&itm=224316605498&pmt=1&noa=0&pg=2047675&algv=ItemStripV101HighAdFeeWithCompV3Ranker&brand=SKMEI&_trksid=p2047675.c101196.m2219&amdata=cksum:224316605498da50a3a584114c3e911a309e058f0ae5|enc:AQAHAAABAMiCh7AmjLRk7DuPR3%2F9UdvQeXESgPHS%2FZurpFMzoVKwMHeyhOsVtjJ0nkalpUv%2FMlzGChj1HdKMPOtEv8P%2FFiu9aOwIv8VrfJft1WfNND1gRpwJDmea%2B2u1qpiAAw%2FyEPT6VepAhxCl4tYBGCxG12gj7jtGaskWwVIE6XIGv1CavczFCBnPjbDFV%2BuWxRgeNcQX8A7outduH%2FqSa0mnitMGSewHaldD9Y%2Fj%2BRFGVDKnHrUb35rtrp%2Fik%2FezWGDTpGVopv4GSc6MA9tnjEOoeNUK3i4qbQWhv5WFiWYu5qgYtCobqFkQaT8mPCmie8Y3yktEdOyPAMKdEJiS4k%2F3SRw%3D|ampid:PL_CLK|clp:2047675";"Mens Chronograph Sports Military Diver Wrist Watch digital Multi function SKMEI";"15.99"
"14/06/2022 18:31:50";"https://www.ebay.com/itm/313975288296?_trkparms=amclksrc=ITM&aid=1110018&algo=HOMESPLICE.COMPLISTINGS&ao=1&asc=20210609144404&meid=da50a3a584114c3e911a309e058f0ae5&pid=101196&rk=4&rkt=12&sd=115423749601&itm=313975288296&pmt=1&noa=0&pg=2047675&algv=ItemStripV101HighAdFeeWithCompV3Ranker&brand=Unbranded&_trksid=p2047675.c101196.m2219&amdata=cksum:313975288296da50a3a584114c3e911a309e058f0ae5|enc:AQAHAAABAMiCh7AmjLRk7DuPR3%2F9UdvQeXESgPHS%2FZurpFMzoVKw8dkbxo8Z2DSg2ZWOX0KLZvbCAsCftltU%2FSi7aa9GEOh9FWwx1DJ46PU7kYOsF1iBkBPcz%2BJzI5uvBtpcrcHFORgzGExxq8JBDB%2BEUL0qN9H8XmTI5FHjTvIzb3YDLZbUyM7asALDDGL3KVqWXSgvJtQ1VLAYhzyXN8DWUA1F4XjsB4n4xQGG6xfPtrMleuoNqrowoQLzYnqA%2B8hKcPECMYdRLDoxOjAMA9VagpPPFlILWvzfKrn8MtQnMTgLRea%2Feb02h4wsfMpPWJFi2U2RU9KL%2FliozeRCzmpmgNNSAvg%3D|ampid:PL_CLK|clp:2047675";"Newest Black Rubber Watch Band Strap for Invicta Venom Viper Chronograph Reserve";"11.75"
"14/06/2022 18:31:55";"https://www.ebay.com/itm/155028447573?_trkparms=amclksrc=ITM&aid=1110018&algo=HOMESPLICE.COMPLISTINGS&ao=1&asc=20210609144404&meid=da50a3a584114c3e911a309e058f0ae5&pid=101196&rk=5&rkt=12&sd=115423749601&itm=155028447573&pmt=1&noa=0&pg=2047675&algv=ItemStripV101HighAdFeeWithCompV3Ranker&brand=Unbranded&_trksid=p2047675.c101196.m2219&amdata=cksum:155028447573da50a3a584114c3e911a309e058f0ae5|enc:AQAHAAABAMiCh7AmjLRk7DuPR3%2F9UdvQeXESgPHS%2FZurpFMzoVKw6wxyoMIfql5KeGHLqTTyi22%2FVCntmxq5R%2BJ%2BdmDcUqTGtdvaujlttMkqQtUSfnWjFIFzqND3d8J1R6m68Jc%2B18oIzlXRMlsMmqPvrCy7%2F8ncwfjFGsn2pRH%2F07cX8%2FkrQzHeuknPU45Z3d1GLg%2BAHrP5yLOBrFWJnwyuVaOxDwoXDl%2FlW4%2F17pVIeZSm7YOT26hUQhqOpofKHcib7d%2BInfEuhkStFHmz5Jj9GARd3Ktp0RBgU1lb5neHkJ%2BEZEiQ6QOK%2Fttsrf3Z6hzu2Dr0hTVCvw%2BjvfLzuhOwpRzt4kc%3D|ampid:PL_CLK|clp:2047675";"Aluminum Diving Watch Bezel Insert for SPR777 Men's Wristwatch Chronograph Ring";"8.98"
"14/06/2022 18:32:00";"https://www.ebay.com/itm/113247250400?_trkparms=amclksrc=ITM&aid=1110018&algo=HOMESPLICE.COMPLISTINGS&ao=1&asc=20210609144404&meid=da50a3a584114c3e911a309e058f0ae5&pid=101196&rk=6&rkt=12&sd=115423749601&itm=113247250400&pmt=1&noa=0&pg=2047675&algv=ItemStripV101HighAdFeeWithCompV3Ranker&brand=Unbranded&_trksid=p2047675.c101196.m2219&amdata=cksum:113247250400da50a3a584114c3e911a309e058f0ae5|enc:AQAHAAABAMiCh7AmjLRk7DuPR3%2F9UdvQeXESgPHS%2FZurpFMzoVKwTxDRw43VuUxTJwqimldqFbWSNDRo%2FaFnKavwcV2Mp9xCqaTyz3W6ZVSAAXEPQofWBbpZXwzAXHb%2F6Z%2FL4RAr4TE5%2FFexgW%2F%2BoHvV2N7uEwBfhwwYVJ%2Bch6MgSw64uzf7G1TWI3EqQyrkrs67j5YR3bvo6ZfduziaVjRD1DOBnX5HA6g9eENG8FE5wWOXKNrlUYGfhtX6HjOr7dYoQORh%2FShKQoGidEbiZjrB3Dou0Sznue5ucAn%2Fa63VP1nXTTcAexb%2Fu%2FXEWT4vYfiPDoxjZN9nKnCit3u5KsdA0F3o3EQ%3D|ampid:PL_CLK|clp:2047675";"26mm Rubber Watch Band Wristband Strap Fit For Invicta Pro Diver Chronograph";""
"14/06/2022 18:32:05";"https://www.ebay.com/itm/142936728330?_trkparms=amclksrc=ITM&aid=1110018&algo=HOMESPLICE.COMPLISTINGS&ao=1&asc=20210609144404&meid=da50a3a584114c3e911a309e058f0ae5&pid=101196&rk=7&rkt=12&sd=115423749601&itm=142936728330&pmt=1&noa=0&pg=2047675&algv=ItemStripV101HighAdFeeWithCompV3Ranker&brand=Unbranded&_trksid=p2047675.c101196.m2219&amdata=cksum:142936728330da50a3a584114c3e911a309e058f0ae5|enc:AQAHAAABAMiCh7AmjLRk7DuPR3%2F9UdvQeXESgPHS%2FZurpFMzoVKwxx1L4qwL5pRCfHd4BVAOwD5Wmv%2BoMySiGL%2B7I5udgS68%2FAi6WkBQ02ZZFelJg49G98Om9BXRuBl2xy6mOtewLxVUJzX2UPFtSqiqSW5%2F%2F6DslYH5SJrljiqxQolxTtQks4%2Fi7JNw2Ba1Mjw2iAm9X8FcKdwc%2FUK8bxSElOqrkepPdAheaEMoCArjAftK%2FzF8mGdL8dAGBDdep%2BUwaHMwf%2FeafWjqAmGqUddP2Ydwju8Ua3XHWoJMC3uHdgxR4lOlCL9uiDgTYfC8GXIOTWw1yakhwb6APETks1LVmb7SelA%3D|ampid:PL_CLK|clp:2047675";"26mm Black Rubber Wrist Watch Band Strap Fit For Invicta Pro Diver Chronograph";"8.38"
"14/06/2022 18:32:09";"https://www.ebay.com/itm/224214637824?_trkparms=amclksrc=ITM&aid=1110018&algo=HOMESPLICE.COMPLISTINGS&ao=1&asc=20210609144404&meid=da50a3a584114c3e911a309e058f0ae5&pid=101196&rk=8&rkt=12&sd=115423749601&itm=224214637824&pmt=1&noa=0&pg=2047675&algv=ItemStripV101HighAdFeeWithCompV3Ranker&brand=Unbranded&_trksid=p2047675.c101196.m2219&amdata=cksum:224214637824da50a3a584114c3e911a309e058f0ae5|enc:AQAHAAABAMiCh7AmjLRk7DuPR3%2F9UdvQeXESgPHS%2FZurpFMzoVKw3GByjV%2BE14clR%2FnuYUmYbd7Xi8twgkdKLjuFphk05DOiawaGKmJ7FV7U6wvdbADhJa7wGsgOkjPEovJ5%2FfYw9AAOczf8nrY9NTm5ece3kLyTV0lmU1ReGpF3eX8jabFzKeg6PKuhHALHlBw7F3G291ucb8li4lIhU4qnx0Nr8XefUAA2GyDau1m3AaOBgdzz4%2FTJqqFFQqeLROSKpkXFIjSfR4IFf1eXRTjPjU%2BIgZ297CtgXqukCFsTWwDs%2BI7vilpPLJajocxE0Pm02AKUQyD7cvKhEtb%2Fw%2BB9snEtTzY%3D|ampid:PL_CLK|clp:2047675";"26mm Rubber Watch Strap Band fit for Invicta Pro Diver Chronograph Collection Up";"8.61"
"14/06/2022 18:32:14";"https://www.ebay.com/itm/183431255133?_trkparms=amclksrc=ITM&aid=1110018&algo=HOMESPLICE.COMPLISTINGS&ao=1&asc=20210609144404&meid=da50a3a584114c3e911a309e058f0ae5&pid=101196&rk=9&rkt=12&sd=115423749601&itm=183431255133&pmt=1&noa=0&pg=2047675&algv=ItemStripV101HighAdFeeWithCompV3Ranker&brand=Unbranded&_trksid=p2047675.c101196.m2219&amdata=cksum:183431255133da50a3a584114c3e911a309e058f0ae5|enc:AQAHAAABAMiCh7AmjLRk7DuPR3%2F9UdvQeXESgPHS%2FZurpFMzoVKwEs%2BZoiJ6csm%2FmpdYeTlR2GEu9REHCJz4lpcRoIGoPw2USI8dGbCl13Y9EWSCSzDVPrYVkJD3p73sEjvOmUVQfgm8ZuULx0DzEEiBAWxzYyZptR3XdMH4csfx52smX9ECZkRp9dQAHnyD8SEJuLnyLyS0lAhCz%2FkMTiCE2I%2FGMPt0F3l3tbds%2FjiVUkz0GenYFoDj0cqsxU%2F6fUDqbIjk%2B%2FIv5AMcD5sxEtAu%2BT5gDc%2BiwtqcsCTOQsnqU1l%2BzfDwlBJDdGyqsovdOXNkmZMi7xNjd5tQhc30qeUFqEAgggM%3D|ampid:PL_CLK|clp:2047675";"26mm Rubber Diver Band Strap Fit For Invicta Pro Diver Chronograph Watch";"8.39"
"14/06/2022 18:32:20";"https://www.ebay.com/itm/283157665731?_trkparms=amclksrc=ITM&aid=1110018&algo=HOMESPLICE.COMPLISTINGS&ao=1&asc=20210609144404&meid=da50a3a584114c3e911a309e058f0ae5&pid=101196&rk=10&rkt=12&sd=115423749601&itm=283157665731&pmt=1&noa=0&pg=2047675&algv=ItemStripV101HighAdFeeWithCompV3Ranker&brand=Unbranded&_trksid=p2047675.c101196.m2219&amdata=cksum:283157665731da50a3a584114c3e911a309e058f0ae5|enc:AQAHAAABAMiCh7AmjLRk7DuPR3%2F9UdvQeXESgPHS%2FZurpFMzoVKwAR0jW2IaGpc93nk81rS%2BK4sVgsJ8iYY9ov6jlDkSXs6O1mdAoBSq%2Fe%2BqwjxKXel74j6Ek19cMefv4YkKjAPesFyegU8IwayXGbMGIlJ6MgY5CvDTvbpucXLos1TWBxXZcShUayDN%2Bb%2Bf%2FSfnRaddmVcmi7GXl2YH5lN3TeVBWdktNVxvl5xsRguQ3fdN6Ii9Pnw7x5Yayuj8ina7g%2ByD6tHV%2F%2Ftl5Q2az%2FaBiYs4U2uLkH2M0cT%2FFq26%2F3YCyOzAPeGWusDRd9IvAg3XSq6jvzwKq%2BlLmZIfnwStAqorzFs%3D|ampid:PL_CLK|clp:2047675";"26mm Silicon Rubber Diver Band Strap Fit For Invicta Pro Diver Chronograph Watch";""
"14/06/2022 18:32:24";"https://www.ebay.com/itm/294469502945?_trkparms=amclksrc=ITM&aid=1110018&algo=HOMESPLICE.COMPLISTINGS&ao=1&asc=20210609144404&meid=da50a3a584114c3e911a309e058f0ae5&pid=101196&rk=11&rkt=12&sd=115423749601&itm=294469502945&pmt=1&noa=0&pg=2047675&algv=ItemStripV101HighAdFeeWithCompV3Ranker&brand=Unbranded&_trksid=p2047675.c101196.m2219&amdata=cksum:294469502945da50a3a584114c3e911a309e058f0ae5|enc:AQAHAAABAMiCh7AmjLRk7DuPR3%2F9UdvQeXESgPHS%2FZurpFMzoVKwyBRGlFovl8vtgMm7MfgXYVEEjcDCCap2wv4xpj6im0ik9EIeJ8hrpuvVva6ydvUKdfEhmD3IqX%2FoPkU1jMnb3uRQsyOb2ReOqCUdITI7%2BErILnvyhm%2BhyuU690oPvTiBfcC6NadAOCQYk96p9Whi9bTYUQltLZWNe5PHJl2Z7Yd%2F5aYMJyGWpCYRSvteY4AhdU7mBzkEzfn2hHLcfRuEJgjfhY2UmKnxfJtuI9lueBzKSmqXOxOTTcFSJ2eGGArU8s%2B0VeZMQq%2FbaBMrrItscX74Wy%2FDOSdTuizV3IZ73jI%3D|ampid:PL_CLK|clp:2047675";"26mm Silicon Rubber Band Strap Fit For Invicta Pro Diver Chronograph Watch let";"8.56"
"14/06/2022 18:32:29";"https://www.ebay.com/itm/310304840944?_trkparms=amclksrc=ITM&aid=1110018&algo=HOMESPLICE.COMPLISTINGS&ao=1&asc=20210609144404&meid=da50a3a584114c3e911a309e058f0ae5&pid=101196&rk=12&rkt=12&sd=115423749601&itm=310304840944&pmt=1&noa=0&pg=2047675&algv=ItemStripV101HighAdFeeWithCompV3Ranker&_trksid=p2047675.c101196.m2219&amdata=cksum:310304840944da50a3a584114c3e911a309e058f0ae5|enc:AQAHAAABAMiCh7AmjLRk7DuPR3%2F9UdvQeXESgPHS%2FZurpFMzoVKwmytpntv3feAGuUwgeR%2BxC3v%2FwX%2FoAm0L0PqFckuwwgbGaIT9tN6Psb6fQEr8eBthDheG9hV9He9ElgC8If5WZbChCbUZszSmP4h4%2BWNNdnuee9DzEpH6aYp9Z7uC5f55L7fm98i1B2SgDS%2BDz0uiulxs9V9sfZpnW%2F1IsglBsA07aYLO6By3NpQlE5y83sb%2FqDxdDp2DQAT802QfBCc%2F1oJ8He327J6zTqmLb66XMIrZk8Y7kX9pMl18DHat%2FdxjkfXGji3a5T1LGUcZjNp06lnUjE9TGQMhHLbdssDItG8%3D|ampid:PL_CLK|clp:2047675";"SAPPHIRE CRYSTAL FOR WATCH FOR FIT MENS CARTIER ROADSTER CHRONOGRAPH TOP QUALITY";"US $74.95"
