"dateaccessed";"url";"teamFullName";"clubPresident"
"10/06/2022 13:09:53";"https://en.wikipedia.org/wiki/Atalanta_B.C.";"Atalanta Bergamasca Calcio S.p.A.";"Antonio Percassi"
"10/06/2022 13:10:12";"https://en.wikipedia.org/wiki/Bologna_F.C._1909";"Bologna Football Club 1909 S.p.A.";"Joey Saputo"
"10/06/2022 13:10:25";"https://en.wikipedia.org/wiki/U.S._Cremonese";"Unione Sportiva Cremonese S.p.A.";"Paolo Rossi"
"10/06/2022 13:10:42";"https://en.wikipedia.org/wiki/Empoli_F.C.";"Empoli Football Club S.p.A.";"Fabrizio Corsi"
"10/06/2022 13:10:58";"https://en.wikipedia.org/wiki/ACF_Fiorentina";"ACF Fiorentina S.p.A.[1][2]";"Rocco B. Commisso"
"10/06/2022 13:11:14";"https://en.wikipedia.org/wiki/Hellas_Verona_F.C.";"Hellas Verona Football Club S.p.A.";"Maurizio Setti"
"10/06/2022 13:11:30";"https://en.wikipedia.org/wiki/Inter_Milan";"Football Club Internazionale Milano S.p.A.[1]";"Steven Zhang[7]"
"10/06/2022 13:11:57";"https://en.wikipedia.org/wiki/Juventus_F.C.";"Juventus Football Club S.p.A.";"Andrea Agnelli"
"10/06/2022 13:12:17";"https://en.wikipedia.org/wiki/S.S._Lazio";"Società Sportiva Lazio S.p.A.";"Claudio Lotito"
"10/06/2022 13:12:41";"https://en.wikipedia.org/wiki/US_Lecce";"Unione Sportiva Lecce S.p.A.";"Saverio Sticchi Damiani"
"10/06/2022 13:12:58";"https://en.wikipedia.org/wiki/S.S._Monza_1912";"Associazione Calcio Monza S.p.A.";"Paolo Berlusconi"
"10/06/2022 13:13:16";"https://en.wikipedia.org/wiki/A.C._Milan";"Associazione Calcio Milan S.p.A.[1]";"Paolo Scaroni"
"10/06/2022 13:13:24";"https://en.wikipedia.org/wiki/S.S.C._Napoli";"Società Sportiva Calcio Napoli S.p.A.";"Aurelio De Laurentiis"
"10/06/2022 13:13:48";"https://en.wikipedia.org/wiki/A.S._Roma";"Associazione Sportiva Roma S.p.A.";"Dan Friedkin"
"10/06/2022 13:13:54";"https://en.wikipedia.org/wiki/Salernitana_Calcio";"Unione Sportiva Salernitana 1919 S.r.l.";"Davide Nicola"
"10/06/2022 13:14:09";"https://en.wikipedia.org/wiki/U.C._Sampdoria";"Unione Calcio Sampdoria S.p.A.";"Marco Lanna"
"10/06/2022 13:14:29";"https://en.wikipedia.org/wiki/U.S._Sassuolo_Calcio";"Unione Sportiva Sassuolo
Calcio S.r.l.";"Carlo Rossi"
"10/06/2022 13:14:42";"https://en.wikipedia.org/wiki/Spezia_Calcio";"Spezia Calcio";"Philip Raymond Platek Jr."
"10/06/2022 13:14:57";"https://en.wikipedia.org/wiki/Torino_F.C.";"Torino Football Club S.p.A.";"Urbano Cairo"
"10/06/2022 13:15:09";"https://en.wikipedia.org/wiki/Udinese_Calcio";"Udinese Calcio S.p.A.";"Franco Soldati"
"10/06/2022 13:15:37";"https://en.wikipedia.org/wiki/Ascoli_Picchio_F.C._1898";"Ascoli Calcio 1898 F.C. S.p.A.";"Carlo Neri"
"10/06/2022 13:15:50";"https://en.wikipedia.org/wiki/S.S.C._Bari";"Società Sportiva Calcio Bari SpA[1]";"Luigi De Laurentiis"
"10/06/2022 13:16:12";"https://en.wikipedia.org/wiki/Benevento_Calcio";"Benevento Calcio S.r.l.";"Oreste Vigorito"
"10/06/2022 13:16:27";"https://en.wikipedia.org/wiki/Brescia_Calcio";"Brescia Calcio S.p.A.";"Massimo Cellino[1]"
"10/06/2022 13:16:46";"https://en.wikipedia.org/wiki/Cagliari_Calcio";"Cagliari Calcio S.p.A.";"Tommaso Giulini"
"10/06/2022 13:17:04";"https://en.wikipedia.org/wiki/A.S._Cittadella";"Associazione Sportiva Cittadella S.r.l.";"Andrea Gabrielli"
"10/06/2022 13:17:22";"https://en.wikipedia.org/wiki/Como_1907";"Como 1907 S.r.l.";""
"10/06/2022 13:17:33";"https://en.wikipedia.org/wiki/Cosenza_Calcio";"Cosenza Calcio S.r.l.";"Eugenio Guarascio[1]"
"10/06/2022 13:17:48";"https://en.wikipedia.org/wiki/Frosinone_Calcio";"Frosinone Calcio S.r.l.";"Maurizio Stirpe"
"10/06/2022 13:18:06";"https://en.wikipedia.org/wiki/Genoa_C.F.C.";"Genoa Cricket and Football Club S.p.A.";"Alberto Zangrillo[5]"
"10/06/2022 13:18:11";"https://en.wikipedia.org/wiki/Mantova_1911_S.S.D.";"Mantova 1911 s.r.l.";"Maurizio Setti"
"10/06/2022 13:18:30";"https://en.wikipedia.org/wiki/Parma_Calcio_1913";"Parma Calcio 1913 S.r.l.";"Kyle Krause"
"10/06/2022 13:18:46";"https://en.wikipedia.org/wiki/A.C._Perugia_Calcio";"Associazione Calcistica Perugia Calcio S.r.l.";"Massimiliano Santopadre"
"10/06/2022 13:19:01";"https://en.wikipedia.org/wiki/A.C._Pisa_1909";"Pisa Sporting Club S.r.l.";"Giuseppe Corrado"
"10/06/2022 13:19:17";"https://en.wikipedia.org/wiki/Urbs_Reggina_1914";"Reggina 1914 S.r.l.";"Roberto Stellone"
"10/06/2022 13:19:35";"https://en.wikipedia.org/wiki/S.P.A.L.";"Società Polisportiva Ars et Labor S.p.A.";"Joe Tacopina"
"10/06/2022 13:19:50";"https://en.wikipedia.org/wiki/F.C._S%C3%BCdtirol";"Fußball Club Südtirol s.r.l.";"Gerhard Comper"
"10/06/2022 13:20:13";"https://en.wikipedia.org/wiki/Ternana_Calcio";"Ternana Calcio S.p.A.";"Stefano Ranucci"
"10/06/2022 13:20:29";"https://en.wikipedia.org/wiki/Venezia_F.C.";"Venezia Football Club S.r.l.";"Duncan L. Niederauer"
"10/06/2022 13:21:10";"https://en.wikipedia.org/wiki/U.C._AlbinoLeffe";"Unione Calcio AlbinoLeffe S.r.l.";""
"10/06/2022 13:21:25";"https://en.wikipedia.org/wiki/U.S._Alessandria_Calcio_1912";"Unione Sportiva Alessandria Calcio 1912 S.r.l.";"Luca Di Masi"
"10/06/2022 13:21:39";"https://en.wikipedia.org/wiki/F.C._Arzignano_Valchiampo";"Football Club
Arzignano Valchiampo srl";"Lino Chilese"
"10/06/2022 13:21:52";"https://en.wikipedia.org/wiki/FeralpiSal%C3%B2";"Feralpisalò Srl";"Giuseppe Pasini"
"10/06/2022 13:22:05";"https://en.wikipedia.org/wiki/U.S._Fiorenzuola_1922_S.S.";"Unione Sportiva Fiorenzuola 1922";"Luigi Pinalli"
"10/06/2022 13:22:15";"https://en.wikipedia.org/wiki/Juventus_F.C._Under-23";"Juventus Football Club Under-23";"Andrea Agnelli"
"10/06/2022 13:22:27";"https://en.wikipedia.org/wiki/Calcio_Lecco_1912";"Calcio Lecco 1912 S.p.A.";"Paolo Di Nunno"
"10/06/2022 13:22:42";"https://en.wikipedia.org/wiki/Novara_F.C.";"Novara Football Club";"Massimo Ferranti"
"10/06/2022 13:22:51";"https://en.wikipedia.org/wiki/Calcio_Padova";"Associazione Calcio Padova (1910–1930)
Associazione Fascista Calcio Padova (1930–1940)
Associazione Calcio Padova (1940–1967)
Calcio Padova SpA (1967–2014, 2015–)
Biancoscudati Padova (2014–2015)";"Daniele Boscolo Meneguolo"
"10/06/2022 13:23:07";"https://en.wikipedia.org/wiki/U.S._Pergolettese_1932";"Unione Sportiva Pergolettese
1932 Srl";"Massimiliano Marinelli"
"10/06/2022 13:23:20";"https://en.wikipedia.org/wiki/Piacenza_Calcio_1919";"Piacenza Calcio 1919 S.r.l.";"Roberto Pighi"
"10/06/2022 13:23:35";"https://en.wikipedia.org/wiki/Aurora_Pro_Patria_1919";"Aurora Pro Patria 1919 S.r.l.";"Patrizia Testa"
"10/06/2022 13:23:50";"https://en.wikipedia.org/wiki/S.S.D._Pro_Sesto";"Pro Sesto Calcio s.r.l.";"Gabriele Albertini"
"10/06/2022 13:24:03";"https://en.wikipedia.org/wiki/F.C._Pro_Vercelli_1892";"Football Club Pro Vercelli 1892 S.r.l.";"Massimo Secondo"
"10/06/2022 13:24:16";"https://en.wikipedia.org/wiki/A.C._Renate";"Associazione Calcio Renate Srl";"Luigi Spreafico"
"10/06/2022 13:24:27";"https://en.wikipedia.org/wiki/Sangiuliano_City_Nova_F.C.";"Associazione Sportiva Dilettantistica Sangiuliano City Nova Football Club";"Andrea Luce[1]"
"10/06/2022 13:24:36";"https://en.wikipedia.org/wiki/A.C._Trento_1921";"Associazione Calcio Trento 1921 Società Sportiva Dilettantistica srl";"Mauro Giacca"
"10/06/2022 13:24:56";"https://en.wikipedia.org/wiki/U.S._Triestina_Calcio_1918";"Unione Sportiva Triestina Calcio 1918 S.r.l.";"Cristian Bucchi"
"10/06/2022 13:25:17";"https://en.wikipedia.org/wiki/Virtus_Verona";"Associazione Virtusvecomp Verona";"Luigi Fresco"
"10/06/2022 13:25:24";"https://en.wikipedia.org/wiki/L.R._Vicenza_Virtus";"L.R. Vicenza S.p.A.";"Renzo Rosso[2]"
"10/06/2022 13:25:45";"https://en.wikipedia.org/wiki/Ancona-Matelica";"Ancona-Matelica S.r.l.";"Tony Tiong"
"10/06/2022 13:26:03";"https://en.wikipedia.org/wiki/Carrarese_Calcio";"Carrarese Calcio 1908 S.r.l.";"Salvo Zangari"
"10/06/2022 13:26:14";"https://en.wikipedia.org/wiki/Cesena_F.C.";"Cesena Football Club";"Augusto Corrado Patrignani[1]"
"10/06/2022 13:26:28";"https://en.wikipedia.org/wiki/A.S._Gubbio_1910";"Associazione Sportiva Gubbio 1910 Srl";"Sauro Notari"
"10/06/2022 13:26:43";"https://en.wikipedia.org/wiki/Imolese_Calcio_1919";"Imolese Calcio 1919";"Lorenzo Mezzetti"
"10/06/2022 13:26:54";"https://en.wikipedia.org/wiki/S.S.D._Lucchese_1905";"Lucchese 1905 s.r.l.";"Alessandro Vichi"
"10/06/2022 13:27:12";"https://en.wikipedia.org/wiki/Modena_F.C._2018";"Modena Football Club 2018 S.r.l.";"Carlo Rivetti"
"10/06/2022 13:27:29";"https://en.wikipedia.org/wiki/Montevarchi_Calcio_Aquila_1902";"Montevarchi Calcio Aquila 1902 Srl";"Roberto Malotti"
"10/06/2022 13:27:40";"https://en.wikipedia.org/wiki/Olbia_Calcio_1905";"Olbia Calcio 1905 S.r.l.";"Alessandro Marino[citation needed]"
"10/06/2022 13:27:53";"https://en.wikipedia.org/wiki/Delfino_Pescara_1936";"Delfino Pescara 1936 S.p.A.";"Daniele Sebastiani"
"10/06/2022 13:28:10";"https://en.wikipedia.org/wiki/U.S._Citt%C3%A0_di_Pontedera";"Unione Sportiva Città di Pontedera";"Gianfranco Donnini"
"10/06/2022 13:28:24";"https://en.wikipedia.org/wiki/Pordenone_Calcio";"Pordenone Calcio S.r.l.";"Mauro Lovisa[2]"
"10/06/2022 13:28:35";"https://en.wikipedia.org/wiki/U.S.D._Recanatese_1923";"Unione Sportiva Dilettantistica Recanatese 1923";"Adolfo Guzzini"
"10/06/2022 13:28:48";"https://en.wikipedia.org/wiki/Reggio_Audace_F.C.";"Associazione Calcio Reggiana 1919 S.r.l.";"Carmelo Salerno"
"10/06/2022 13:29:02";"https://en.wikipedia.org/wiki/Rimini_F.C._1912";"Rimini Football Club";"Giorgio Grassi"
"10/06/2022 13:29:19";"https://en.wikipedia.org/wiki/A.S.D._San_Donato_Tavarnelle";"Associazione Sportiva Dilettantistica San Donato Tavarnelle";"Andrea Bacci"
"10/06/2022 13:29:30";"https://en.wikipedia.org/wiki/A.C.N._Siena_1904";"Associazione Calcio Noah Siena";"Ike Thierry Zaengel"
"10/06/2022 13:29:43";"https://en.wikipedia.org/wiki/S.S._Teramo_Calcio";"Società Sportiva Teramo Calcio s.r.l.";"Luciano Campitelli"
"10/06/2022 13:29:59";"https://en.wikipedia.org/wiki/Virtus_Entella";"Virtus Entella S.r.l.";"Antonio Gozzi"
